Age,  ,Race,CO-MO,Disease_Type,Disease_sub_type,BIO_Marker,Prev-T,Pref_status,,Ouput,Preffered_Drug,Alternate_Drug,Guideline_Link,Payer_Pathway,Overall_Survival,AE's,AE_Management
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,EGFR, ,0,,,osimertinib+PLATINUM-PEMETREXED BETTER,lazertinib,,,,,
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,KRAS G12C,,0,,,sotorasib,adagrasib,,,,,
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ALK reaarangement,,0,,,crizotinib,ceritinib,,,,,
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ROS1 reaarangement,,0,,,crizotinib,ceritinib,,,,,
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,BRAF V600E,,0,,,dabrafenib,encorafenib,,,,,
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL1 Positive (1-49%),,0,,,pembrolizumab,carboplatin,,,,,
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL 1 Positive (>50%),,0,,,pembrolizumab,carboplatin,,,,,
<30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL1 Negative,,0,,,pembrolizumab,nivolimab,,,,,
,,,,,,,,,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,EGFR,,0,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,KRAS G12C,,0,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ALK reaarangement,,0,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ROS1 reaarangement,,0,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,BRAF V600E,,0,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL1 Positive (1-49%),,0,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL 1 Positive (>50%),,0,,,,,,,,,
<= 40 > 30,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL1 Negative,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,EGFR,,0,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,KRAS G12C,,0,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ALK reaarangement,,0,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ROS1 reaarangement,,0,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,BRAF V600E,,0,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL1 Positive (1-49%),,0,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL 1 Positive (>50%),,0,,,,,,,,,
<= 50 > 40,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL1 Negative,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
<= 60 > 50,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,EGFR,,0,,,,,,,,,
<= 60 > 50,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,KRAS G12C,,0,,,,,,,,,
<= 60 > 50,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ALK reaarangement,,0,,,,,,,,,
<= 60 > 50,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,ROS1 reaarangement,,0,,,,,,,,,
<= 60 > 50,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,BRAF V600E,,0,,,,,,,,,
<= 60 > 50,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL1 Positive (1-49%),,0,,,,,,,,,
<= 60 > 50,Male,White,None,Lung Cancer,Lung_Cancer_NSCLC,PDL 1 Positive (>50%),,0,,,,,,,,,
